Patient,Section,Section Remarks,Infection,Type,Common Causative Agents,Recommended Antibiotic Therapy,Alternative Antibiotic Therapy,Recommended Duration of Treatment,Remarks
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Acne,Moderate to severe ,Propionibacterium acnes,"Doxycycline 100mg, PO, Q12H for the first day followed by Q24H","Erythromycin 500mg, PO, Q12H",At least for 3 months,"If there is no improvement after the first 3 months, consider another oral agent."
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Otitis externa,,"Staphylococcus aureus, Streptococcus A,C,G","Amoxicillin, 500mg, PO, Q8H
OR
Penicillin V, 500mg, PO, Q6H","Erythromycin 500mg, PO, Q6H",5 days,
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Scabies,,Mite (Sarcoptes scabiei),Gamma Benzene Hexachloride,,"Apply thinly over whole body, omitting head and neck, wash off using cool water after 24 hours; Repeat if necessary after 7 days",Treat all members of the household & close contacts simultaneously; Wash all clothing in hot water and sundry all beddings and linens.
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Scabies,In pregnancy/ lactating mother,Mite (Sarcoptes scabiei),Sulphur 6 % ointment Apply Q12H after bath,,3 days,Treat all members of the household & close contacts simultaneously; Wash all clothing in hot water and sundry all beddings and linens.
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Infectious Atopic Dermatitis,,,"Cloxacillin, 500mg, PO, Q6H
OR
Cephalexin 500mg, PO, Q8H",,5-7 days,"Oral antibiotics are used when the dermatitis has not settled with other measures and there is suspicion that infection is contributing to the dermatitis; and there is obvious secondary infection, particularly if using wet dressings."
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Native valve endocarditis,Initial empirical therapy awaiting culture results,"Streptococcus, Enterococcus, Staphylococcus aureus, Coagulase Negative Staphylococci (CoNS)","Ampicillin 2g, IV, Q4H
PLUS
Gentamicin 3mg/kg, IV, Q24H
PLUS
Cloxacillin 2g, IV, Q4H","Benzylpenicillin 3MU, IV, Q4H
PLUS
Gentamicin 3mg/kg, IV, Q24H
PLUS
Cloxacillin 2g, IV, Q4H",4-6 weeks; Stop gentamicin after 14 days,Take 4 (10ml) samples 15 minutes apart; 3 samples (ESC 2015 and AHA guidelines)
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Native valve endocarditis,Streptococcal endocarditis,Viridans streptococci,"Benzylpenicillin 4MU, IV, Q4H
OR
Amoxicillin 25-50mg/kg, PO, Q4H
PLUS
Gentamicin 3mg/kg, IV, Q24H","Ceftriaxone 1g, IV, Q12H
PLUS
Gentamicin 3mg/kg, IV, Q24H",2-4 weeks,Stop gentamicin after 2 weeks
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Native valve endocarditis,Penicillin resistant,Viridans streptococci,"Ceftriaxone 1g, IV, Q12H
PLUS
Gentamicin 3mg/kg, IV, Q24H","Vancomycin 15mg/kg, IV, Q12H
PLUS
Gentamicin 3mg/kg, IV, 
Q24H",4-6 weeks,Stop gentamicin after 2 weeks
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Enterococcal endocarditis,For penicillin susceptible isolates,"Enterococcus faecalis, Enterococcus faecium","Ampicillin 2g, IV, Q4H
PLUS
Gentamicin 3mg/kg, IV, Q24H",,4 - 6 weeks; stop gentamicin after 2 weeks,
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Enterococcal endocarditis,For penicillin resistant isolates,"Enterococcus faecalis, Enterococcus faecium","Vancomycin 15mg/kg, IV, Q12H
PLUS
Gentamicin 3mg/kg, IV, Q24H",,6 weeks,
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Enterococcal endocarditis,For High Level gentamicin Resistant isolates,"Enterococcus faecalis, Enterococcus faecium","Ampicillin 2g, IV, Q4H
PLUS
Ceftriaxone 1g, IV, Q12H",,6 weeks,
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Staphylococcal endocarditis,Left-sided,Methicillin-susceptible Staphylococcus aureus (MSSA),"Cloxacillin, 2g, IV, Q4H","Cephazolin 2g, IV, Q8H",6 weeks,
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Staphylococcal endocarditis,Left-sided,Methicillin-resistant Staphylococcus aureus (MRSA),"Vancomycin, 15mg/kg, IV, Q12H",,6 weeks,
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Staphylococcal endocarditis,Right-sided,Methicillin-susceptible Staphylococcus aureus (MSSA),"Cloxacillin 2g IV, Q4H",,2 weeks,Usually seen in IV Drug user
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Staphylococcal endocarditis,Right-sided,Methicillin-resistant Staphylococcus aureus (MRSA),"Vancomycin, 15mg/kg, IV, Q12H",,6 weeks,
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Endocarditis caused by the HACEK group,,"Haemophilus, Aggregatibacter, Cardiobacterium, Eikenella, Kingella (HACEK group)","Ceftriaxone, 1g, IV, Q12H",,4 weeks,
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Prosthetic valve endocarditis (valve replacement less than 1 year),,"Staphylococcus epidermidis, Staphylococcus aureus, rarely enterobacteriaceae, diphtheroids","Vancomycin 15mg/kg IV, Q12H
PLUS
Gentamicin 3mg/kg, IV, Q24H
PLUS
Rifampicin 300mg, PO, Q8H",,6 - 8 weeks; Stop gentamicin after 2 weeks,"Rifampicin should be started after 3 days of starting vancomycin; If valve replacement is more than 1 year, treat as empirical regime as above"
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Blood culture-negative infective endocarditis,,Brucella spp.,"Doxycycline 200mg, PO, Q24H
PLUS
Cotrimoxazole 960mg, PO, Q12H
PLUS
Rifampicin 300-600mg,PO,Q24H",,≥ 3- 6months,
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Blood culture-negative infective endocarditis,,C. burnetii,"Doxycycline 200mg, PO, Q24H
PLUS
Hydroxychloroquine 200-600mg, PO, Q24H",,"> 18 months",
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Blood culture-negative infective endocarditis,,Bartonella spp.,"Doxycycline 100mg, PO, Q12H
PLUS
Gentamycin 3mg, IV, Q24H",,4 weeks,Stop gentamycin after 2 weeks
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Blood culture-negative infective endocarditis,,Legionella spp.,"Levofloxacin 500mg, PO, Q12H
PLUS
Rifampicin 300-1200mg, PO, Q24H",,≥ 6 weeks,
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Blood culture-negative infective endocarditis,,Mycoplasma spp.,"Levofloxacin 500mg, PO, Q12H",,6 months,
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Blood culture-negative infective endocarditis,,T. whipplei,"Doxycycline 200mg, PO, Q12H
PLUS
Hydroxychloroquine 200-600mg, PO, Q24H",,≥ 18 months,
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Rheumatic fever,Acute,Group A streptococcus,"Benzathine benzylpenicillin, 1.2MU, IM, STAT
OR
Penicillin V 500mg, PO, Q6H",,10 days only for PO,"In case of penicillin sensitivity, use erythromycin."
Adult,CARDIOVASCULAR SYSTEM INFECTIONS,,Rheumatic fever,Secondary prophylaxis,Group A streptococcus,"Benzathine benzylpenicillin
Body wt. > 27kg: 
1.2MU, every 3 weeks; 
Body wt. < 27kg: 
0.6MU, every 4 weeks","Penicillin V, 250mg, PO, Q12H
OR
Erythromycin 250mg, PO, Q12H","Without carditis: for 5 years after the last attack or 21 years of age (whichever is longer); With carditis but no residual valvular disease: for 10 years after the last attack, or 21 years of age (whichever is longer); With persistent valvular disease: for 10 years after last attack, or 40 years or lifelong prophylaxis",
Adult,OBSTETRICS AND GYNAECOLOGY INFECTIONS,,UTI in pregnancy,,Usual urinary pathogens,"Nitrofurantoin 50-100mg, PO, Q6H
OR
Amoxicillin 500mg, PO, Q8H","Cephalexin 500mg, PO, Q8H",5 days,Take urine for culture and sensitivity test before starting antibiotics; Ideally 2 post treatment cultures should be sterile
Adult,OBSTETRICS AND GYNAECOLOGY INFECTIONS,,Post-abortal Infection,"Mild infection, non-septic","Escherichia coli, Staphylococcus aureus, Streptococcus, Pseudomonas","Amoxicillin 500mg, PO, Q8H
PLUS
Metronidazole 500mg, PO, Q8H","Doxycycline 100mg, PO, Q12H",5-7 days,Take culture before starting antibiotics
Adult,OBSTETRICS AND GYNAECOLOGY INFECTIONS,,Post-abortal Infection,Severe infections or septic,"Escherichia coli, Staphylococcus aureus, Streptococcus, Pseudomonas","Ampicillin 1g, IV, Q6H
PLUS
Metronidazole 500mg, IV, Q8H","Ceftriaxone 1g, IV, Q12H
PLUS
Metronidazole 500mg, IV, Q8H",5-7 days,Early surgical intervention should be done
Adult,OBSTETRICS AND GYNAECOLOGY INFECTIONS,,"Chorioamnionitis, puerperal sepsis and infections after pelvic surgery",,,"Ampicillin 1g, IV, Q6H
PLUS
Metronidazole 500mg, IV, Q8H
PLUS
Gentamicin 5mg/kg, IV, STAT",,,IV antibiotics for 48 hours only; then switch to oral for 5-7 days
Adult,GENITAL TRACT INFECTIONS,,Vaginal candidiasis,,Candida albicans,"Clotrimazole 100mg vaginal pessary at night for 7 nights
OR
Vaginal pessary 400mg daily (4 x 100mg) for 3 nights
OR
Vaginal pessary 500mg single dose for 1 night (Choose depending on severity, compliance)","Fluconazole 150mg, PO, STAT (in chronic and resistant cases)",,"All topical and oral azoles give 80 - 95% cure; In pregnancy, avoid oral azoles."
Adult,GENITAL TRACT INFECTIONS,,Balanitis,,Candidal balanitis is commoner than bacterial cause,"Topical Clotrimazole 1% Ointment, Q12H","Fluconazole 150mg, PO, STAT (in chronic and resistant cases)",At least 7 days,
Adult,GENITAL TRACT INFECTIONS,,Bacterial vaginosis,,"Gardnerella vaginalis, Mycoplasma hominis","Metronidazole 2g, PO, STAT
OR
Metronidazole 400mg, PO, Q12H",,7 days,A 7 days course of oral metronidazole is slightly more effective than 2g stat; Avoid 2g stat dose in pregnancy
Adult,GENITAL TRACT INFECTIONS,,"Gonococcal urethritis, Cervicitis",,Neisseria gonorrhoeae,"Ceftriaxone 250 mg, IM, STAT","Ciprofloxacin 500mg, PO, STAT",,"Take samples for gram stain and culture wherever applicable; When specific diagnosis is difficult, follow syndromic treatment guideline as per National STI management guideline"
Adult,GENITAL TRACT INFECTIONS,,"Chlamydia trachomatis urethritis, Cervicitis",,Chlamydia trachomatis,"Doxycycline 200mg, PO, STAT 
THEN 100mg, PO, Q12H","Erythromycin 500mg, PO, Q6H",7 days,
Adult,GENITAL TRACT INFECTIONS,,Trichomoniasis,,Trichomonas vaginalis,"Metronidazole 2g, PO, STAT
OR
Metronidazole 400mg, PO, Q12H",,5-7 days,
Adult,GENITAL TRACT INFECTIONS,,Pelvic inflammatory disease (PID),,Chlamydia and Neisseria gonorrhoeae,"Ceftriaxone 250mg, IM, STAT
PLUS
Metronidazole 400mg, PO, Q12H
PLUS
Doxycycline 100mg, PO, Q12H",,14 days,
Adult,GENITAL TRACT INFECTIONS,,Pelvic inflammatory disease (PID),If pregnant,Chlamydia and Neisseria gonorrhoeae,"Ceftriaxone 250mg, IM, STAT
PLUS
Erythromycin 500mg, PO, Q6H",,7 days,
Adult,GENITAL TRACT INFECTIONS,,Chanchroid,,Haemophilus ducreyi,"Erythromycin 500mg, PO, Q6H for 7 days","Ceftriaxone 250mg, IM, STAT
OR
Ciprofloxacin 500mg, PO, Q12H for 3 days",,
Adult,GENITAL TRACT INFECTIONS,,"Donovanosis 
(Granuloma Inguinale)",,Klebsiella granulomatis,"Doxycycline 100mg, PO, Q12H","Erythromycin 500mg, PO, Q6H
OR
Cotrimoxazole 960mg, PO, Q12H",All for minimum 3 weeks,
Adult,GENITAL TRACT INFECTIONS,,Syphilis,Early Syphilis,Treponema pallidum,"Benzathine benzylpenicillin 2.4MU, IM, STAT, divided equally at 2 different sites","Procaine penicillin 1.2MU, IM, Q24H ",10 days,"Primary, secondary or early latent syphilis of not more than 2 years duration"
Adult,GENITAL TRACT INFECTIONS,,Syphilis,Early Syphilis: If allergic to penicillin,Treponema pallidum,"Doxycycline 100mg, PO, Q12H","Erythromycin 500mg, PO, Q6H",14 days,"Use erythromycin, if pregnant"
Adult,GENITAL TRACT INFECTIONS,,Syphilis,Late Latent Syphilis,Treponema pallidum,"Benzathine benzylpenicillin 2.4MU, IM, divided equally at 2 different sites every week for 3 weeks","Procaine penicillin 1.2MU, IM, Q24H ",10-14 days,Infection of >2 years duration without evidence of treponema infection
Adult,GENITAL TRACT INFECTIONS,,Syphilis,Late Latent Syphilis: If allergic to penicillin,Treponema pallidum,"Doxycycline 100mg, PO,Q12H","Erythromycin 500mg, PO, Q6H",30 days,"Use erythromycin, if pregnant"
Adult,GENITAL TRACT INFECTIONS,,Syphilis,Neurosyphilis,Treponema pallidum,"Benzylpenicillin 4MU, IV, Q6H for 14 days","Doxycycline 100mg, PO, Q8H for 30 days
OR
Erythromycin 500mg, PO, Q6H for 30 days in pregnancy",,"Give prednisolone 20mg, Q12H for 2 days before starting antibiotics and continue for next 48 hrs after commencing antibiotics."
Adult,OPHTHALMIC INFECTIONS,,Conjunctivitis,,"Staphylococcus aureus, Streptococcus pneumoniae, Haemophilus influenzae, Coliforms (in contact lens users)","Chloramphenicol eye drops: 1 drop, Q2H, if severe; and Q6H when controlled; Ointment: at night if used alone, apply 3 - 4 times daily",Ciprofloxacin eye drops Q6H ,5-7 days,
Adult,OPHTHALMIC INFECTIONS,,Conjunctivitis,,Pseudomonas,"Topical Ciprofloxacin 1 drop, Q2H; reduce frequency as infection is controlled","Tobramycin eye drop, Q6H",5 - 7 days; Continue for 48 hours after healing,
Adult,OPHTHALMIC INFECTIONS,,Corneal Infections,Corneal ulcers,,"Moxifloxacin 0.5% eye drop: Apply eye drops throughout day and night;
Day 1: apply every 15 min for 6H then, 30 minutes;
Day 3: apply Q1H;
Day 4 - 14: apply Q4H;
ADD
Fluconazole 0.3% eye drop: Apply 1 - 8H depending on severity (only in clinical suspicion or culture proven fungal cause)","Topical chloramphenicol 0.4% eye drop/ 1% eye ointment
OR
Ciprofloxacin 0.3% eye drop",Maximum duration of treatment 21 days,
Adult,OPHTHALMIC INFECTIONS,,Corneal Infections,Ocular Herpes simplex,,"Acyclovir ointment, 5 times daily",,14 days or at least up to 3 days after healing,
Adult,ORO-DENTAL INFECTIONS,,Dental infections,Mild,"Viridians, Streptococcus spp., Anaerobic streptococcus, Bacteroides","Amoxicillin 500mg, PO, Q8H","Erythromycin 500mg, PO, Q6H",5 days,Antibiotics are required only in spreading infections and systemic involvements
Adult,ORO-DENTAL INFECTIONS,,Dental infections,Moderate/ Severe,"Viridians, Streptococcus spp., Anaerobic streptococcus, Bacteroides","Amoxicillin 500mg, PO, Q8H 
PLUS
Metronidazole 400mg, PO, Q8H","Erythromycin 500mg, PO, Q6H
PLUS
Metronidazole 400mg, PO, Q8H",5 days,
Adult,ORO-DENTAL INFECTIONS,,Facial cellulitis,,Beta-haemolytic streptococcus and Staphylococcus aureus,"Amoxicillin 500mg, PO, Q8H
OR
Cloxacillin 500mg, PO, Q6H","Cephalexin 500mg, PO, Q8H",5 days,
Adult,ORO-DENTAL INFECTIONS,,Acute necrotizing ulcerative gingivitis (Vincent’s gingivitis),,Fusiform bacteria and spirochetes,"Metronidazole 400mg, PO, Q8H
PLUS
Chlorhexidine mouthwash (0.2%) or Hydrogen peroxide mouthwash (6%)","Doxycycline 200mg, STAT, and then, Q12H PLUS Chlorhexidine mouthwash (0.2%) or Hydrogen peroxide mouthwash (6%)",5 days,"Antibiotic alone will not respond without local measures such as scaling, irrigation and oral hygiene advice"
Adult,ORO-DENTAL INFECTIONS,,Pericoronitis,,Mixed infections,"Amoxicillin 500mg, PO, Q8H
PLUS
Metronidazole 400mg, PO, Q8H","Doxycycline 100mg, PO, Q12H",5 days,"Antibiotic alone will not respond without local measures such as scaling, irrigation and oral hygiene advice"
Adult,ORO-DENTAL INFECTIONS,,Periodontitis,,Mixed infections,"Amoxicillin 500mg, PO, Q8H
PLUS
Metronidazole 400mg, PO, Q8H","Doxycycline 100mg, PO, Q12H",5 days,"Antibiotic alone will not respond without local measures such as scaling, irrigation and oral hygiene advice"
Adult,ORO-DENTAL INFECTIONS,,Periodontal/Periapical abscess,,"Viridans, Streptococcus species, anaerobic streptococcus, Bacteroides","Amoxicillin 500mg, PO, Q8H","Cloxacillin 500mg, PO, Q6H",5 days,
Adult,ORO-DENTAL INFECTIONS,,Osteomyelitis of the jaw,,"Staphylococcus aureus, Haemolytic streptococcus, Bacteroides, Actinomyces","Amoxicillin 500mg, PO, Q6H
OR
Ampicillin 1g, IV, Q6H
PLUS
Cloxacillin 1g, IV, Q6H","Metronidazole 400mg, IV, Q6H
PLUS
Cloxacillin 1g, IV, Q6H",7-10 days,
Adult,ORO-DENTAL INFECTIONS,,Antibiotic prophylaxis against infective endocarditis for dental procedures,,,"Amoxicillin 2g, PO, STAT","Erythromycin 500mg, PO STAT
OR
Cephalexin 2g, PO, STAT","30-60 minutes before 
procedure",
Adult,GASTROINTESTINAL TRACT INFECTIONS,,Cholera,,Vibrio cholerae,"Doxycycline 300mg, PO, STAT","Ciprofloxacin 1g, PO, STAT",,Stool culture should be done; Fluid replacement is the mainstay therapy.
Adult,GASTROINTESTINAL TRACT INFECTIONS,,Cholera,In pregnancy,Vibrio cholerae,"Erythromycin 12.5mg/kg, PO, Q6H",,3 days,Stool culture should be done; Fluid replacement is the mainstay therapy.
Adult,GASTROINTESTINAL TRACT INFECTIONS,,Diverticulitis (Severe),,"Escherichia coli, Coliforms, Enterococci, Anaerobes","Ampicillin 1g, IV, Q6H
PLUS
Gentamicin 7.5mg/kg, IV, Q24H
PLUS
Metronidazole 400mg, PO, Q12H","Ciprofloxacin 400mg, IV, Q12H
PLUS
Metronidazole 400mg, PO, Q12H",5-7 days,
Adult,GASTROINTESTINAL TRACT INFECTIONS,,Eradication of Helicobacter pylor,,Helicobacter pylori,"Omeprazole 20mg, PO, Q12H
PLUS
Clarithromycin 500mg, PO, Q12H
PLUS
Amoxicillin 1g, PO, Q12H","Omeprazole 20mg, PO, Q12H
PLUS
Metronidazole 400mg, PO, Q12H
PLUS
Amoxicillin 1g, PO, Q12H",14 days,
Adult,GASTROINTESTINAL TRACT INFECTIONS,,Infective Diarrhoea Traveller’s diarrhoea,"Mild (Non dysenteric)",,"Norfloxacin 400mg, PO, STAT",,,Stool culture to be done; fluid replacement is main component of therapy
Adult,GASTROINTESTINAL TRACT INFECTIONS,,Infective Diarrhoea Traveller’s diarrhoea,Severe (Dysenteric),,"Norfloxacin 400mg, PO, Q12H","Ciprofloxacin 500mg, PO, Q12H",3 days,Stool culture to be done; fluid replacement is main component of therapy
Adult,GASTROINTESTINAL TRACT INFECTIONS,,Infective Diarrhoea Traveller’s diarrhoea,Organism specific,"Yersinia, Escherichia coli","Cotrimoxazole 960mg, PO, Q12H","Norfloxacin 400mg, PO, Q12H
OR
Ciprofloxacin 500mg, PO, Q12H",5 days,Stool culture to be done; fluid replacement is main component of therapy
Adult,GASTROINTESTINAL TRACT INFECTIONS,,Infective Diarrhoea Traveller’s diarrhoea,Organism specific,Campylobacter,"Norfloxacin 400mg, PO, Q12H","Erythromycin 500mg, PO, Q6H",5 days,Stool culture to be done; fluid replacement is main component of therapy
Adult,GASTROINTESTINAL TRACT INFECTIONS,,Infective Diarrhoea Traveller’s diarrhoea,Organism specific,"Salmonella, Shigella","Amoxicillin 500mg, PO, Q8H
OR
Cotrimoxazole 960mg, PO, Q12H","Ceftriaxone 2g, IV, Q12H",5-7 days,"If blood culture positive for the organisms, treat for 14 days"
Adult,GASTROINTESTINAL TRACT INFECTIONS,,Infective Diarrhoea Traveller’s diarrhoea,Organism specific,Giardia ,"Metronidazole 400mg, PO, Q8H for 5 days
OR
Metronidazole 2g, PO, Q24H for 3 days",,,"If blood culture positive for the organisms, treat for 14 days"
Adult,GASTROINTESTINAL TRACT INFECTIONS,,Infective Diarrhoea Traveller’s diarrhoea,Organism specific,Entamoeba histolytica (amoebiasis),"Metronidazole 800mg, PO, Q8H",,7-10 days,"If blood culture positive for the organisms, treat for 14 days"
Adult,GASTROINTESTINAL TRACT INFECTIONS,,Infective Diarrhoea Traveller’s diarrhoea,Organism specific,Clostridium difficile,"Metronidazole 400mg, PO, Q8H","Vancomycin 125mg, PO*, Q6H ",10-14 days,* Break the ampoule and give orally
Adult,GASTROINTESTINAL TRACT INFECTIONS,,Peritonitis: Primary (Spontaneous bacterial peritonitis),Treatment,,"Ceftriaxone 1g, IV, Q12H","Ampicillin 500mg, IV, Q8H
PLUS
Gentamicin 5mg/kg, IV, Q24H",7-10 days,
Adult,GASTROINTESTINAL TRACT INFECTIONS,,Peritonitis: Primary (Spontaneous bacterial peritonitis),Primary prophylaxis,"Enterobacteriaceae, Streptococcus pneumoniae, Enterococci, anaerobes","Norfloxacin 400mg, PO, Q12H","Ceftriaxone 1g, IV, Q12H
OR
Ciprofloxacin 500mg, PO, Q12H",5 days,For cirrhotic patient with upper GI bleed
Adult,GASTROINTESTINAL TRACT INFECTIONS,,Peritonitis: Primary (Spontaneous bacterial peritonitis),Secondary prophylaxis ,,"Norfloxacin 400mg, PO, Q12H","Cotrimoxazole 960mg, PO, Q24H",Lifelong,
Adult,GASTROINTESTINAL TRACT INFECTIONS,,Enteric Fever,,"Salmonella typhi, Salmonella paratyphi","Ampicillin 1g, IV, Q6H","Ceftriaxone 1g, IV, Q12H",10-14 days,Culture and sensitivity is essential
